id,Name,Fueltype,Technology,Set,Country,Capacity,lat,lon,DateIn,DateOut
mastr_SEE957952105034,mastr_SEE957952105034,Natural Gas,OCGT,PP,DE,13.6,48.056366,12.185151,2016.0,
mastr_SEE940616845582,mastr_SEE940616845582,Natural Gas,OCGT,PP,DE,4.94,49.599524,8.222021,1993.0,
mastr_SEE961847934449,mastr_SEE961847934449,Natural Gas,OCGT,PP,DE,45.07,51.253038,9.437126,2013.0,
mastr_SEE995498892612,mastr_SEE995498892612,Oil,steam turbine,PP,DE,8.864,52.103281,7.62052,2006.0,
mastr_SEE910979994913,mastr_SEE910979994913,Natural Gas,OCGT,PP,DE,7.202,49.707649,9.243722,2009.0,
mastr_SEE967194778880,mastr_SEE967194778880,Natural Gas,OCGT,PP,DE,62.0,51.042464,13.707669,1995.0,
mastr_SEE968254365774,mastr_SEE968254365774,Natural Gas,OCGT,PP,DE,62.0,51.042464,13.707669,1995.0,
mastr_SEE936213976842,mastr_SEE936213976842,Natural Gas,OCGT,PP,DE,2.898,52.490983,13.29829,2016.0,
mastr_SEE967517967144,mastr_SEE967517967144,Natural Gas,OCGT,PP,DE,3.4,53.078501,8.790384,1996.0,
mastr_SEE902794677119,mastr_SEE902794677119,Natural Gas,OCGT,PP,DE,2.678,52.858557,11.153861,2020.0,
mastr_SEE976723191748,mastr_SEE976723191748,Oil,steam turbine,PP,DE,2.016,52.500696,13.365645,1992.0,
mastr_SEE944325172564,mastr_SEE944325172564,Oil,steam turbine,PP,DE,2.016,52.393525,9.801103,1992.0,
mastr_SEE942742319609,mastr_SEE942742319609,Oil,steam turbine,PP,DE,2.016,52.393525,9.801103,1992.0,
mastr_SEE970978075600,mastr_SEE970978075600,Oil,steam turbine,PP,DE,2.016,52.393525,9.801103,2003.0,
mastr_SEE982828944981,mastr_SEE982828944981,Oil,steam turbine,PP,DE,2.016,52.393525,9.801103,2003.0,
mastr_SEE901410470721,mastr_SEE901410470721,Natural Gas,OCGT,PP,DE,62.0,51.042464,13.707669,1995.0,
mastr_SEE950477241393,mastr_SEE950477241393,Natural Gas,OCGT,PP,DE,74.0,51.042464,13.707669,1995.0,
mastr_SEE976333173899,mastr_SEE976333173899,Natural Gas,OCGT,PP,DE,65.0,52.54612,9.115922,1972.0,
mastr_SEE956791074143,mastr_SEE956791074143,Natural Gas,OCGT,PP,DE,5.349,51.8253,9.457022,2016.0,
mastr_SEE936667898769,mastr_SEE936667898769,Oil,steam turbine,PP,DE,2.0,50.943902,6.971679,2009.0,
mastr_SEE930077588371,mastr_SEE930077588371,Oil,steam turbine,PP,DE,2.0,50.943902,6.971679,2009.0,
mastr_SEE977783812192,mastr_SEE977783812192,Oil,steam turbine,PP,DE,2.0,50.943902,6.971679,2009.0,
mastr_SEE966423135241,mastr_SEE966423135241,Natural Gas,OCGT,PP,DE,2.0,51.35088,6.528488,2012.0,
mastr_SEE911689709217,mastr_SEE911689709217,Natural Gas,OCGT,PP,DE,6.0,51.663448,10.357472,1957.0,
mastr_SEE901516014812,mastr_SEE901516014812,Natural Gas,OCGT,PP,DE,2.64,51.663408,10.357535,1955.0,
mastr_SEE927820549208,mastr_SEE927820549208,Natural Gas,OCGT,PP,DE,4.77,53.120801,8.733843,1993.0,
mastr_SEE908238702164,mastr_SEE908238702164,Natural Gas,OCGT,PP,DE,9.4,52.540131,13.364315,1973.0,
mastr_SEE993734419326,mastr_SEE993734419326,Natural Gas,OCGT,PP,DE,2.525,52.246407,8.030639,2016.0,
mastr_SEE971801168636,mastr_SEE971801168636,Natural Gas,OCGT,PP,DE,5.7,52.540081,13.364371,1973.0,
mastr_SEE989342161450,mastr_SEE989342161450,Natural Gas,OCGT,PP,DE,6.528,52.812266,9.157137,2014.0,
mastr_SEE974045584156,mastr_SEE974045584156,Natural Gas,OCGT,PP,DE,5.0,51.406887,8.597764,1998.0,
mastr_SEE986633590692,mastr_SEE986633590692,Natural Gas,OCGT,PP,DE,5.155,52.811962,9.154451,1996.0,
mastr_SEE914688001801,mastr_SEE914688001801,Natural Gas,OCGT,PP,DE,4.339,52.810849,9.154084,1996.0,
